Type,Value,Label,WallDepth,Size
Width,3,3 metres,200mm,XXXS
Width,3.5,3.5 metres,200mm,XXS
Width,4.1,4.1 metres,200mm,XS
Width,4.7,4.7 metres,200mm,S
Height,2.1,2.1 metres,200mm,S
Height,2.4,2.4 metres,200mm,M
Height,2.7,2.7 metres,200mm,L
Height,3,3 metres,200mm,XL
Width,3.6,3.6 metres,250mm,XXS
Width,4.2,4.2 metres,250mm,XS
Width,4.8,4.8 metres,250mm,S
Width,5.4,5.4 metres,250mm,M
Width,6,6 metres,250mm,L
Height,2.1,2.1 metres,250mm,S
Height,2.4,2.4 metres,250mm,M
Height,2.7,2.7 metres,250mm,L
Height,3,3 metres,250mm,XL
Length,1.764,1.8 metres,200mm,
Length,2.364,2.4 metres,200mm,
Length,2.964,3.0 metres,200mm,
Length,3.564,3.6 metres,200mm,
Length,4.164,4.2 metres,200mm,
Length,4.764,4.8 metres,200mm,
Length,5.364,5.4 metres,200mm,
Length,5.964,6.0 metres,200mm,
Length,6.564,6.6 metres,200mm,
Length,1.836,1.9 metres,250mm,
Length,2.436,2.5 metres,250mm,
Length,3.036,3.1 metres,250mm,
Length,3.636,3.7 metres,250mm,
Length,4.236,4.3 metres,250mm,
Length,4.836,4.9 metres,250mm,
Length,5.436,5.5 metres,250mm,
Length,6.036,6.1 metres,250mm,
Length,6.636,6.7 metres,250mm,